modality,dice_wt_baseline,dice_tc_baseline,dice_et_baseline,dice_wt_ablated,dice_tc_ablated,dice_et_ablated,drop_wt,drop_tc,drop_et
t1c,0.7662436490458866,0.6820849243643387,0.6881356654140265,0.6948104339747977,0.20612412200242827,0.20225783690659924,0.0714332150710889,0.4759608023619104,0.4858778285074272
t1n,0.7662436490458866,0.6820849243643387,0.6881356654140265,0.689489552296464,0.37507903586456176,0.4029688575991729,0.07675409674942257,0.3070058884997769,0.2851668078148536
t2f,0.7662436490458866,0.6820849243643387,0.6881356654140265,0.11399345839585877,0.42342607128871546,0.43383909629597966,0.6522501906500279,0.2586588530756232,0.2542965691180468
t2w,0.7662436490458866,0.6820849243643387,0.6881356654140265,0.750030772009291,0.5875634627057326,0.5889586922383968,0.016212877036595574,0.09452146165860609,0.09917697317562968
